ID,Name,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,BIZ-R%,BIZ-R,BIZ-Rm,BIZ-L%,BIZ-L,BIZ-Lm,BIZ-E%,BIZ-E,BIZ-Em,BIZ-U%,BIZ-U,BIZ-Um,BIZ-Z%,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
131024,JOE ADAMS,4,7,7,33,17,15,1,5,0,.970,4.50,-0.2,1.013,0,0,64.0,0,0,100.0%,10,10,66.7%,6,4,20.0%,5,1,33.3%,3,1,22.2%,9,2,1,0.0,0.0
126523,BEN ANTHONY,4,2,1,7,3,4,0,0,0,1.000,4.85,-0.1,.941,0,0,13.0,0,0,100.0%,4,4,0.0%,0,0,0.0%,0,0,0.0%,1,0,0.0%,1,0,1,0.0,0.0
128039,OTTO BAILEY,4,28,24,113,68,43,2,13,0,.982,4.54,1.0,1.022,0,0,220.0,0,0,95.2%,63,60,100.0%,7,7,50.0%,10,5,66.7%,6,4,5.3%,19,1,2,0.0,0.0
124354,CHET BARRY,4,14,13,84,49,33,2,8,0,.976,6.24,0.2,1.007,0,0,118.1,0,0,95.2%,42,40,62.5%,8,5,50.0%,12,6,66.7%,6,4,0.0%,7,0,3,0.0,0.0
126850,MATT BLAND,4,11,5,37,20,16,1,6,0,.973,4.81,-0.6,.941,0,0,67.1,0,0,95.2%,21,20,0.0%,1,0,0.0%,2,0,33.3%,3,1,16.7%,6,1,1,0.0,0.0
129324,JOHN BOWLES,4,2,2,4,2,2,0,1,0,1.000,2.12,-0.1,.941,0,0,17.0,0,0,100.0%,2,2,0.0%,0,0,0.0%,0,0,0.0%,1,0,0.0%,0,0,1,0.0,0.0
124522,ED BRACY,4,8,5,34,25,9,0,6,0,1.000,6.38,0.9,1.026,0,0,48.0,0,0,93.3%,15,14,75.0%,4,3,60.0%,5,3,50.0%,4,2,37.5%,8,3,1,0.0,0.0
126765,TOM BRANDON,4,52,50,228,141,83,4,39,0,.982,4.76,-1.1,.971,0,0,423.1,0,0,91.6%,131,120,83.3%,12,10,66.7%,18,12,15.0%,20,3,20.6%,34,7,8,0.0,0.0
133495,WARNER BROOKS,4,4,3,13,9,4,0,3,0,1.000,4.03,-0.6,.941,0,0,29.0,0,0,80.0%,10,8,0.0%,0,0,0.0%,1,0,0.0%,1,0,20.0%,5,1,0,0.0,0.0
133016,RAFAEL CALDERÓN,4,1,0,2,2,0,0,0,0,1.000,6.00,0.1,.941,0,0,3.0,0,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,50.0%,2,1,0.0%,0,0,0,0.0,0.0
129118,MYCHAL CALHOUN,4,45,44,222,126,92,4,33,0,.982,4.81,1.0,1.031,0,0,407.2,0,0,90.0%,110,99,77.8%,18,14,71.4%,21,15,27.8%,18,5,17.9%,28,5,8,0.0,0.0
123153,LYLE CALLAHAN,4,49,49,259,164,93,2,45,0,.992,5.38,3.5,1.056,0,0,430.0,0,0,95.3%,128,122,80.0%,25,20,50.0%,24,12,43.5%,23,10,13.8%,29,4,6,0.0,0.0
131033,JORGE CARDENAS,4,12,12,61,27,33,1,4,0,.984,5.16,-2.3,.847,0,0,104.2,0,0,90.3%,31,28,37.5%,8,3,0.0%,2,0,0.0%,3,0,37.5%,8,3,0,0.0,0.0
128599,PETER CARTER,4,44,43,188,108,78,2,29,0,.989,4.75,1.2,1.011,0,0,352.1,0,0,92.9%,99,92,81.8%,11,9,54.5%,22,12,30.0%,10,3,27.6%,29,8,10,0.0,0.0
119893,TOM CARVER,4,2,0,1,0,1,0,0,0,1.000,1.50,-0.4,.000,0,0,6.0,0,0,0.0%,1,0,0.0%,1,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0.0
131133,ERNESTO CASTELLANOS,4,25,25,103,67,36,0,14,0,1.000,4.30,2.0,1.013,0,0,215.1,0,0,94.9%,59,56,100.0%,10,10,77.8%,9,7,45.5%,11,5,10.0%,10,1,6,0.0,0.0
123812,TONY COBB,4,12,12,45,24,20,1,7,0,.978,3.74,-0.1,.986,0,0,106.0,0,0,86.4%,22,19,100.0%,4,4,60.0%,5,3,0.0%,6,0,42.9%,7,3,2,0.0,0.0
