ID,Name,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,BIZ-R%,BIZ-R,BIZ-Rm,BIZ-L%,BIZ-L,BIZ-Lm,BIZ-E%,BIZ-E,BIZ-Em,BIZ-U%,BIZ-U,BIZ-Um,BIZ-Z%,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
128190,TOM ALEXANDER,3,36,36,326,21,303,2,35,0,.994,8.87,0.5,.992,0,0,328.2,0,0,100.0%,59,59,83.3%,6,5,75.0%,4,3,33.3%,3,1,0.0%,8,0,1,0.0,0.0
126258,JOHN ALFORD,3,10,10,87,9,78,0,9,0,1.000,8.90,0.9,1.010,0,0,88.0,0,0,100.0%,15,15,100.0%,5,5,100.0%,4,4,0.0%,0,0,0.0%,0,0,0,0.0,0.0
135085,DAVE ALLEN,3,26,4,61,2,59,0,8,0,1.000,9.00,0.1,1.010,0,0,61.0,0,0,100.0%,15,15,100.0%,1,1,0.0%,1,0,0.0%,0,0,0.0%,0,0,0,0.0,0.0
122465,DUSTY ALLEN,3,14,10,98,6,92,0,10,0,1.000,9.16,0.1,1.010,0,0,96.1,0,0,100.0%,25,25,83.3%,6,5,50.0%,2,1,0.0%,1,0,0.0%,0,0,1,0.0,0.0
124673,CRISTO ALVARADO,3,17,5,62,4,58,0,4,0,1.000,9.15,0.1,1.010,0,0,61.0,0,0,100.0%,10,10,0.0%,0,0,0.0%,1,0,100.0%,1,1,0.0%,1,0,0,0.0,0.0
128132,JACK ANDERSON,3,8,3,52,4,48,0,5,0,1.000,9.36,-0.1,1.010,0,0,50.0,0,0,90.0%,10,9,100.0%,1,1,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0.0
134083,MARTÍN ANDRADE,3,4,4,41,4,37,0,6,0,1.000,10.25,-0.1,1.010,0,0,36.0,0,0,100.0%,12,12,100.0%,1,1,0.0%,1,0,0.0%,1,0,0.0%,0,0,0,0.0,0.0
126774,LEE BADER,3,3,0,17,1,16,0,1,0,1.000,10.93,0.1,1.010,0,0,14.0,0,0,100.0%,6,6,100.0%,1,1,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0.0
136286,CAMILLO BAGGIO,3,53,53,454,16,434,4,35,0,.991,8.93,-3.7,.919,0,0,453.2,0,0,91.9%,86,79,80.0%,10,8,33.3%,6,2,20.0%,10,2,0.0%,5,0,0,0.0,0.0
128039,OTTO BAILEY,3,21,21,180,9,171,0,16,0,1.000,8.77,0.5,1.097,0,0,184.2,0,0,92.0%,25,23,80.0%,5,4,50.0%,2,1,66.7%,3,2,0.0%,0,0,1,0.0,0.0
133661,JERRY BENTON,3,50,50,446,20,421,5,50,0,.989,9.06,-2.9,.928,0,0,438.0,0,0,91.2%,68,62,90.0%,10,9,50.0%,6,3,0.0%,6,0,0.0%,3,0,1,0.0,0.0
123841,WILLIAM BLACK,3,18,17,161,7,154,0,18,0,1.000,9.51,0.3,1.010,0,0,152.1,0,0,90.0%,20,18,100.0%,6,6,100.0%,2,2,50.0%,2,1,0.0%,0,0,0,0.0,0.0
129324,JOHN BOWLES,3,40,40,344,22,320,2,28,0,.994,8.81,-0.5,.978,0,0,349.1,0,0,95.4%,65,62,83.3%,6,5,62.5%,8,5,50.0%,2,1,0.0%,7,0,0,0.0,0.0
122194,LYNWOOD BRADLEY,3,5,0,7,0,6,1,0,0,.857,6.00,-0.5,.673,0,0,9.0,0,0,75.0%,4,3,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0.0
133024,RONNIE BRANTLEY,3,24,12,128,4,124,0,13,0,1.000,9.00,0.1,1.053,0,0,128.0,0,0,100.0%,28,28,60.0%,5,3,0.0%,1,0,33.3%,3,1,0.0%,2,0,0,0.0,0.0
126382,BRUCE BROWN,3,2,2,15,0,15,0,1,0,1.000,7.94,0.0,1.010,0,0,17.0,0,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0.0
133532,ROBERT BROWN,3,44,44,346,25,317,4,31,0,.988,8.67,-1.4,.967,0,0,355.0,0,0,93.4%,76,71,83.3%,12,10,75.0%,4,3,25.0%,4,1,0.0%,7,0,5,0.0,0.0
132943,VINCENTE BÓRQUEZ,3,46,45,406,36,369,1,31,0,.998,8.96,3.8,1.074,0,0,406.2,0,0,100.0%,75,75,100.0%,15,15,50.0%,4,2,62.5%,8,5,14.3%,7,1,1,0.0,0.0
133016,RAFAEL CALDERÓN,3,52,52,420,30,389,1,46,0,.998,8.23,1.7,1.050,0,0,458.0,0,0,95.3%,86,82,100.0%,8,8,75.0%,8,6,100.0%,1,1,0.0%,6,0,1,0.0,0.0
125854,CHAD CARVER,3,4,0,4,0,4,0,1,0,1.000,6.00,0.0,1.010,0,0,6.0,0,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0.0
119893,TOM CARVER,3,44,44,386,22,362,2,45,0,.995,9.04,-1.4,.963,0,0,382.1,0,0,95.8%,71,68,75.0%,8,6,40.0%,5,2,0.0%,4,0,50.0%,2,1,0,0.0,0.0
133484,JUAN JOSE CASTILLO,3,3,3,32,0,32,0,4,0,1.000,11.52,0.0,1.010,0,0,25.0,0,0,100.0%,4,4,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0.0
120063,B.J. CLARK,3,22,20,209,7,202,0,9,0,1.000,9.92,0.4,1.053,0,0,189.2,0,0,100.0%,28,28,80.0%,5,4,0.0%,2,0,50.0%,2,1,0.0%,0,0,0,0.0,0.0
136130,JOSÉ COLLAZO,3,2,1,15,2,13,0,2,0,1.000,10.38,-0.5,.808,0,0,13.0,0,0,83.3%,6,5,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,1,0,0,0.0,0.0
121911,RYAN COLLINS,3,5,1,20,1,19,0,0,0,1.000,8.31,0.8,1.514,0,0,21.2,0,0,100.0%,6,6,100.0%,1,1,100.0%,1,1,0.0%,0,0,0.0%,0,0,0,0.0,0.0
121169,HUGH COOPER,3,5,2,25,0,25,0,1,0,1.000,9.12,0.0,.000,0,0,24.2,0,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0.0
136161,FORTUNATO CORVO,3,51,51,406,15,386,5,34,0,.988,8.37,-1.7,.964,0,0,431.0,0,0,93.8%,80,75,83.3%,12,10,50.0%,2,1,33.3%,3,1,0.0%,11,0,0,0.0,0.0
127389,FRED CRUZ,3,5,5,44,2,41,1,3,0,.977,8.80,-0.3,1.010,0,0,44.0,0,0,90.0%,10,9,100.0%,1,1,0.0%,1,0,0.0%,0,0,0.0%,2,0,1,0.0,0.0
125907,JEFFREY DANIELS,3,13,12,114,4,110,0,11,0,1.000,8.92,1.2,1.128,0,0,115.0,0,0,100.0%,13,13,100.0%,5,5,66.7%,6,4,0.0%,0,0,0.0%,0,0,0,0.0,0.0
128452,BILL DAVIS,3,2,1,10,1,9,0,1,0,1.000,11.25,0.1,1.010,0,0,8.0,0,0,100.0%,2,2,100.0%,1,1,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0.0
128397,BEN DENNIS,3,2,2,16,0,16,0,2,0,1.000,8.00,-0.5,1.010,0,0,18.0,0,0,80.0%,5,4,0.0%,0,0,0.0%,0,0,0.0%,2,0,0.0%,2,0,0,0.0,0.0
128221,THOMAS DUPRÉ,3,1,0,3,0,3,0,0,0,1.000,13.50,0.0,.000,0,0,2.0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0.0
124079,DON EVANS,3,3,0,5,0,5,0,1,0,1.000,9.00,0.0,1.010,0,0,5.0,0,0,100.0%,3,3,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0.0
129059,TERRY FERRELL,3,2,2,20,0,20,0,0,0,1.000,10.00,-0.1,1.010,0,0,18.0,0,0,100.0%,5,5,0.0%,0,0,0.0%,0,0,0.0%,1,0,0.0%,1,0,0,0.0,0.0
135939,HÉCTOR FLORES,3,48,48,422,24,397,1,43,0,.998,9.02,1.4,1.026,0,0,420.0,0,0,100.0%,64,64,100.0%,15,15,50.0%,6,3,25.0%,8,2,0.0%,3,0,2,0.0,0.0
128605,TYNAN FOX,3,8,8,73,4,68,1,8,0,.986,9.21,0.7,1.111,0,0,70.1,0,0,100.0%,16,16,100.0%,1,1,0.0%,0,0,100.0%,1,1,0.0%,1,0,0,0.0,0.0
