ID,Name,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,BIZ-R%,BIZ-R,BIZ-Rm,BIZ-L%,BIZ-L,BIZ-Lm,BIZ-E%,BIZ-E,BIZ-Em,BIZ-U%,BIZ-U,BIZ-Um,BIZ-Z%,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
132078,JAVIER ANAYA,2,15,15,128,7,120,1,1,0,.992,8.77,-0.2,1.000,13,0,130.1,0,60,100.0%,6,6,100.0%,1,1,100.0%,2,2,0.0%,0,0,0.0%,0,0,0,0.7,0.0
128654,KIRK BISHOP,2,22,18,136,15,121,0,1,0,1.000,7.57,0.4,1.000,18,2,161.2,0,81,100.0%,4,4,100.0%,1,1,100.0%,5,5,0.0%,0,0,0.0%,0,0,0,1.6,0.0
132497,YURI BOEHMER,2,42,42,272,19,249,4,3,0,.985,6.46,-0.7,.714,33,7,373.1,5,174,83.3%,6,5,100.0%,1,1,100.0%,5,5,0.0%,0,0,0.0%,0,0,0,1.8,0.0
121858,BRIAN BROWN,2,41,41,300,13,286,1,1,0,.997,7.31,0.6,1.000,36,8,368.0,2,154,100.0%,13,13,0.0%,0,0,100.0%,2,2,0.0%,0,0,0.0%,0,0,0,-1.3,0.0
123072,PAUL BROWN,2,19,18,136,8,128,0,1,0,1.000,7.45,-0.1,.000,15,4,164.1,3,78,100.0%,1,1,100.0%,2,2,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,1.8,0.0
130745,RON BROWN,2,41,41,289,15,272,2,3,0,.993,6.93,-1.3,.667,31,4,372.2,2,204,88.9%,9,8,100.0%,2,2,25.0%,4,1,0.0%,0,0,0.0%,0,0,0,0.3,0.0
135123,DALE CANNON,2,37,37,303,15,287,1,0,0,.997,8.05,-0.5,1.000,42,5,337.2,2,183,100.0%,6,6,100.0%,1,1,100.0%,3,3,0.0%,0,0,0.0%,0,0,0,0.7,0.0
128106,ÁNGEL CANÓ,2,13,13,104,6,98,0,1,0,1.000,8.14,-0.0,1.000,11,1,115.0,0,39,100.0%,2,2,0.0%,0,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,0,0.8,0.0
132439,MIGUEL CARRASCO,2,42,41,333,22,310,1,0,0,.997,8.13,1.2,1.222,35,6,367.1,0,161,93.3%,15,14,100.0%,3,3,75.0%,4,3,100.0%,1,1,0.0%,0,0,0,-0.7,0.0
127073,GABE CARRILLO,2,43,42,309,17,287,5,1,0,.984,7.16,0.3,.833,41,6,382.0,0,173,100.0%,9,9,100.0%,4,4,100.0%,3,3,0.0%,0,0,0.0%,0,0,0,0.4,0.0
134657,STEVE CATRON,2,15,14,107,3,104,0,0,0,1.000,7.56,-0.7,1.000,10,0,127.1,2,63,100.0%,4,4,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,1.9,0.0
130924,JIMMY CAUFIEL,2,42,42,336,22,314,0,1,0,1.000,8.06,1.6,1.000,32,8,375.0,1,149,100.0%,5,5,100.0%,5,5,100.0%,4,4,0.0%,0,0,0.0%,0,0,0,4.2,0.0
129408,HYUNG-CHOR CHO,2,16,13,107,8,99,0,0,0,1.000,8.00,0.1,1.333,12,1,120.1,1,62,100.0%,8,8,0.0%,0,0,100.0%,2,2,0.0%,0,0,0.0%,0,0,0,-0.5,0.0
134932,NICK CLEV,2,42,42,276,23,252,1,0,0,.996,6.78,-0.6,.833,65,10,365.0,3,222,100.0%,11,11,100.0%,2,2,100.0%,4,4,0.0%,0,0,0.0%,0,0,0,2.6,0.0
129971,WALT COLEMAN,2,42,42,318,18,300,0,0,0,1.000,7.61,1.3,1.143,22,3,376.0,1,159,100.0%,9,9,100.0%,2,2,85.7%,7,6,0.0%,0,0,0.0%,0,0,0,1.3,0.0
126064,JEFF COOPER,2,15,14,109,3,105,1,2,0,.991,7.90,-0.5,.000,7,1,123.0,3,83,100.0%,3,3,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,-0.7,0.0
128695,BRIAN DAVIDSON,2,20,20,134,10,124,0,2,0,1.000,6.78,0.2,1.000,18,3,178.0,0,110,100.0%,7,7,100.0%,2,2,50.0%,2,1,0.0%,0,0,0.0%,0,0,0,-0.0,0.0
132209,DANIEL DAWSON,2,40,39,260,17,241,2,5,0,.992,6.80,1.0,2.000,33,8,341.2,1,159,100.0%,7,7,100.0%,1,1,50.0%,2,1,0.0%,0,0,0.0%,0,0,0,2.7,0.0
133976,STEVE DEAN,2,6,3,21,2,19,0,0,0,1.000,6.10,0.2,1.000,4,1,31.0,0,14,0.0%,0,0,0.0%,0,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,0,-0.3,0.0
132520,JOSÉ ELÍAS,2,14,14,111,6,105,0,1,0,1.000,7.93,-0.1,1.000,13,2,126.0,1,41,100.0%,1,1,0.0%,0,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,0,2.3,0.0
120879,JOHNNY FLEMING,2,13,13,104,9,95,0,2,0,1.000,8.07,0.2,1.000,15,4,116.0,0,77,83.3%,6,5,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0.0
