ID,Name,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,BIZ-R%,BIZ-R,BIZ-Rm,BIZ-L%,BIZ-L,BIZ-Lm,BIZ-E%,BIZ-E,BIZ-Em,BIZ-U%,BIZ-U,BIZ-Um,BIZ-Z%,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
133703,JOHN ABNEY,1,9,9,7,7,0,0,1,0,1.000,1.20,1.0,2.020,13,2,52.1,0,0,100.0%,3,3,100.0%,2,2,0.0%,0,0,100.0%,1,1,0.0%,0,0,0,-0.0,0.0
127239,ALFREDO ACEVEDO,1,9,0,1,1,0,0,0,0,1.000,0.54,-0.2,1.010,0,0,16.2,0,0,100.0%,1,1,0.0%,1,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,-0.4,0.0
118432,LEONARDO ACEVEDO,1,11,0,5,3,2,0,0,0,1.000,0.71,0.1,1.010,6,1,63.1,0,0,100.0%,4,4,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.8,0.0
129905,BUBBA ACKERMANN,1,12,11,9,2,7,0,0,0,1.000,1.51,-0.7,1.346,10,0,53.2,0,0,100.0%,4,4,0.0%,0,0,0.0%,1,0,0.0%,0,0,0.0%,0,0,0,0.5,0.0
125636,BRANDON ADAMS,1,14,0,3,3,0,0,0,0,1.000,1.05,0.2,1.010,1,0,25.2,0,0,100.0%,2,2,0.0%,0,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,0,0.1,0.0
126568,BRUCE ALEXANDER,1,15,0,4,3,1,0,1,0,1.000,1.33,0.1,1.010,1,0,27.0,0,0,100.0%,3,3,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0.0
132840,DAVE ALEXANDER,1,4,4,4,1,2,1,0,0,.750,1.29,-0.5,.673,1,0,21.0,0,0,66.7%,3,2,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0.0
132135,MIKE ALEXANDER,1,11,11,13,7,5,1,1,0,.923,1.96,0.8,1.136,3,1,55.0,0,0,100.0%,7,7,100.0%,2,2,0.0%,1,0,0.0%,0,0,0.0%,0,0,0,0.8,0.0
120568,RICHARD ALEXANDER,1,20,0,1,0,0,1,0,0,.000,0.00,-0.2,.000,3,1,22.1,0,0,0.0%,0,0,0.0%,0,0,0.0%,1,0,0.0%,0,0,0.0%,0,0,0,-0.3,0.0
125634,ALBERT ALFONSO,1,11,11,8,5,3,0,0,0,1.000,1.17,0.5,1.212,2,0,61.1,0,0,100.0%,6,6,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,-0.5,0.0
