ID,Name,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,BB%,IBB,HP,SH,SF,CI,SO,SO%,GIDP,AVG,OBP,SLG,wOBA,OPS+,BABIP,wRC+,WAR,PI/PA,SB,CS,BatR,UBR,BsR
2954,Jorge Gonzalez,142,142,543,512,140,92,20,6,22,66,76,30,5.5,0,0,11,1,0,119,21.9,5,.273,.313,.465,.332,108,.317,108,4.1,3.62,1,2,5.6,-2.9,-4.0
866,Andy Kangas,141,141,578,513,101,42,25,2,32,88,63,59,10.2,4,2,0,4,0,233,40.3,5,.197,.280,.441,.303,92,.274,88,2.8,4.04,0,1,-8.0,-0.3,-1.0
79,Matt Naumann,127,126,403,384,74,58,15,1,0,24,24,13,3.2,0,3,16,3,0,73,18.1,7,.193,.223,.237,.204,26,.236,19,-1.4,3.43,2,4,-38.4,-3.1,-4.8
1581,Bryce Pantoja,141,141,557,522,121,86,20,6,9,44,53,29,5.2,0,4,5,2,0,142,25.5,9,.232,.276,.345,.271,68,.300,66,1.1,3.80,18,11,-22.3,-1.6,-3.1
1636,Nicanor Ritta,139,139,600,536,133,86,23,2,22,87,80,54,9.0,0,3,0,7,0,150,25.0,17,.248,.317,.422,.319,99,.299,99,4.1,3.90,3,0,-0.4,-1.4,-1.1
4158,Jonathan Romero,141,140,526,489,117,81,26,3,7,39,54,30,5.7,0,4,15,3,0,103,19.6,11,.239,.287,.348,.278,72,.288,70,2.5,3.55,3,2,-18.2,0.2,-0.4
2394,Jayden Elizondo,140,140,503,460,90,56,25,0,9,43,39,30,6.0,0,7,7,6,0,133,26.4,6,.196,.252,.309,.247,52,.250,49,0.1,3.75,2,1,-30.2,-0.5,-0.7
1860,Travis Manis,143,142,539,490,124,94,19,0,11,42,50,38,7.1,0,7,2,4,0,97,18.0,20,.253,.314,.359,.296,83,.293,84,1.7,3.60,4,3,-10.2,-2.5,-3.4
2251,Jason Normand,139,139,577,515,125,74,25,4,22,76,67,50,8.7,2,6,0,6,0,137,23.7,16,.243,.314,.435,.319,101,.285,99,3.6,3.87,4,4,-0.0,-0.5,-1.9
4726,Tolentino Samico,141,141,532,487,115,73,25,6,11,50,57,28,5.3,0,15,3,2,0,147,27.6,9,.236,.297,.380,.295,83,.314,83,2.2,3.75,2,0,-10.7,-1.7,-1.5
2504,Jason Avedian,141,141,570,511,115,72,22,3,18,57,58,53,9.3,0,4,3,2,1,154,27.0,4,.225,.302,.386,.300,86,.284,86,2.9,3.85,1,4,-9.0,-2.1,-4.3
1147,Ali bin Nawaf,138,138,616,520,165,106,37,2,20,85,85,93,15.1,6,1,0,2,0,111,18.0,17,.317,.420,.512,.395,153,.371,153,7.0,4.00,2,8,38.9,-3.5,-7.5
2730,Steve Childress,142,142,536,497,117,70,35,1,11,54,52,38,7.1,0,0,2,1,0,122,22.8,12,.235,.289,.376,.289,80,.290,78,1.9,3.73,7,3,-13.4,-2.5,-2.6
677,Jesus Cruz,78,70,294,272,76,49,16,1,10,39,39,15,5.1,1,3,0,4,0,50,17.0,11,.279,.320,.456,.328,108,.306,106,1.1,3.50,3,1,2.2,-2.6,-2.6
2618,Nick Cutler,76,70,271,250,62,38,14,1,9,40,35,17,6.3,4,2,0,2,0,63,23.2,1,.248,.299,.420,.299,93,.294,85,0.8,3.59,1,0,-4.7,-0.5,-0.4
3260,Benjamin de la Cerda,142,141,550,493,118,80,18,1,19,71,49,50,9.1,4,3,2,4,0,121,22.0,12,.239,.311,.396,.303,91,.277,88,2.5,3.83,0,2,-7.5,-2.4,-3.7
5055,Salvador Gomez,142,142,517,481,92,69,17,1,5,38,29,30,5.8,0,1,14,5,0,150,29.0,6,.191,.238,.262,.222,37,.263,32,-1.4,3.79,1,3,-41.6,-0.8,-2.3
1775,Ken Goss,139,139,621,557,138,98,24,3,13,43,76,47,7.6,0,15,4,2,0,133,21.4,5,.248,.322,.372,.306,89,.303,90,3.6,3.72,65,9,-6.7,0.7,11.5
771,Pete Hagl,140,140,589,508,137,90,27,4,16,61,68,63,10.7,3,13,0,5,0,123,20.9,8,.270,.362,.433,.343,116,.324,116,4.9,3.77,6,3,11.6,-0.8,-1.3
1635,Ernesto Ortega,141,141,555,497,130,72,25,4,29,64,76,46,8.3,2,10,0,2,0,136,24.5,11,.262,.335,.503,.354,124,.302,124,3.9,3.87,4,2,16.1,-2.9,-3.2
4127,Paul Palmer,141,141,579,519,129,87,31,4,7,59,67,54,9.3,1,4,0,2,0,114,19.7,15,.249,.323,.364,.302,87,.305,88,2.0,3.78,12,3,-8.2,1.4,2.4
1243,Alex Salinas,135,135,591,528,124,84,28,1,11,44,76,56,9.5,0,4,0,3,0,130,22.0,12,.235,.311,.354,.294,81,.290,82,1.4,3.82,1,0,-12.2,-3.9,-4.1
1719,Rory Santiago,139,139,587,540,123,80,28,4,11,52,55,41,7.0,0,3,3,3,0,127,21.6,10,.228,.284,.356,.280,73,.277,72,1.2,3.71,15,1,-19.3,-3.3,-0.6
1607,Kevin Tindell,138,138,648,588,139,86,18,8,27,65,83,43,6.6,0,14,0,3,0,175,27.0,15,.236,.302,.432,.316,97,.288,97,2.7,3.88,13,6,-1.8,-0.7,-0.9
3857,Lee Tommasino,138,138,621,576,141,87,25,9,20,64,61,34,5.5,0,7,0,4,1,139,22.4,16,.245,.293,.424,.307,92,.287,91,1.3,3.75,6,9,-6.5,-5.2,-8.6
3063,Corey Volk,50,44,183,161,33,24,0,0,9,25,19,16,8.7,0,6,1,0,0,46,25.1,4,.205,.301,.373,.298,82,.226,85,0.8,3.67,1,0,-3.2,-0.2,-0.0
2786,Andrew Albarran,45,39,155,147,43,31,5,3,4,29,14,8,5.2,0,0,1,0,0,33,21.3,6,.293,.329,.449,.334,110,.355,110,0.6,3.55,1,0,1.9,-1.5,-1.4
2391,Efrain Arenivar,146,146,662,582,158,102,27,5,24,76,97,62,9.4,0,13,0,5,0,180,27.2,10,.271,.352,.459,.350,119,.350,121,3.4,3.99,15,7,16.8,-2.3,-2.6
1431,Julio Barcia,136,136,577,529,128,88,19,0,21,72,66,45,7.8,0,2,0,1,0,93,16.1,18,.242,.303,.397,.305,89,.257,89,2.1,3.63,1,0,-7.0,-1.4,-1.5
3035,Steve Burba,74,44,222,190,47,31,8,0,8,26,31,28,12.6,0,4,0,0,0,50,22.5,4,.247,.356,.416,.340,110,.295,114,1.0,3.94,9,3,3.9,-4.6,-4.1
2758,Angel Fernandez,140,140,575,508,109,76,21,3,9,46,49,52,9.0,0,12,5,3,0,132,23.0,5,.215,.301,.321,.279,70,.270,71,0.2,3.83,2,7,-19.2,-1.9,-5.3
3648,Gabriel Hickman,141,141,599,557,130,78,28,3,21,57,71,36,6.0,0,4,5,2,0,154,25.7,9,.233,.284,.408,.297,86,.284,84,1.9,3.63,15,7,-10.9,-0.0,-0.2
2002,Mike Hines,62,56,234,202,52,39,10,0,3,28,22,28,12.0,1,2,1,2,0,51,21.8,7,.257,.350,.351,.312,93,.327,94,0.5,3.78,1,2,-1.5,-2.2,-3.2
