ID,Name,EXP,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,BIZ-R%,BIZ-R,BIZ-Rm,BIZ-L%,BIZ-L,BIZ-Lm,BIZ-E%,BIZ-E,BIZ-Em,BIZ-U%,BIZ-U,BIZ-Um,BIZ-Z%,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
2546,Jack Zupon,7,1,32,32,10,6,3,1,0,0,.900,0.54,-0.5,1.022,7,1,150.2,0,0,100.0%,4,4,0.0%,1,0,50.0%,2,1,0.0%,0,0,0.0%,0,0,0,0.1,0.0
1731,Huai-yi Zhang,7,1,33,33,22,12,8,2,0,0,.909,0.84,2.4,.937,19,11,213.1,0,0,80.0%,10,8,75.0%,4,3,100.0%,2,2,0.0%,0,0,0.0%,0,0,0,-0.5,0.0
1847,Nestor Zavala,5,1,60,0,9,6,2,1,0,0,.889,1.13,0.3,1.022,2,1,63.2,0,0,100.0%,5,5,66.7%,3,2,0.0%,1,0,0.0%,0,0,0.0%,0,0,0,-0.7,0.0
1516,Jerry Zamora,6,1,33,33,23,14,7,2,0,0,.913,0.97,0.1,1.022,14,4,194.0,0,0,84.6%,13,11,100.0%,2,2,0.0%,0,0,0.0%,0,0,0.0%,1,0,0,0.1,0.0
383,Brandon Wycoff,15,1,61,0,4,3,1,0,0,0,1.000,0.57,0.7,1.022,4,2,63.0,0,0,0.0%,0,0,100.0%,1,1,100.0%,2,2,0.0%,0,0,0.0%,0,0,0,0.0,0.0
2687,Bobby Wollmuth,5,1,32,32,19,8,11,0,0,0,1.000,1.05,0.5,1.149,19,5,163.1,0,0,100.0%,6,6,100.0%,1,1,100.0%,2,2,0.0%,0,0,0.0%,0,0,0,1.1,0.0
2321,Mike Winstead,3,1,32,32,19,9,5,5,0,0,.737,0.75,-1.8,.920,15,2,168.2,0,0,88.9%,9,8,0.0%,2,0,50.0%,2,1,0.0%,0,0,0.0%,0,0,0,-0.9,0.0
1566,Adam Winkler,8,1,65,0,7,5,2,0,0,0,1.000,0.99,-0.5,1.226,7,0,63.2,0,0,100.0%,6,6,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.5,0.0
1989,Jesse Wilson,8,1,60,0,7,4,3,0,0,0,1.000,1.03,1.1,1.226,3,2,61.0,0,0,100.0%,5,5,100.0%,1,1,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,-0.7,0.0
2268,Tony Williams,7,1,43,0,4,2,1,1,0,0,.750,0.36,-0.7,.681,9,2,75.1,0,0,50.0%,2,1,100.0%,1,1,0.0%,0,0,0.0%,0,0,0.0%,1,0,0,0.3,0.0
1645,Jim Williams,13,1,32,32,15,6,7,2,0,0,.867,0.64,0.0,.613,19,6,181.2,0,0,80.0%,5,4,100.0%,2,2,0.0%,0,0,100.0%,1,1,0.0%,0,0,0,-0.4,0.0
5252,Bill Williams,12,1,65,0,7,4,2,1,0,0,.857,0.70,-0.4,.817,0,0,77.0,0,0,80.0%,5,4,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,-0.7,0.0
753,Aaron Williams,15,1,33,33,20,13,5,2,1,0,.900,0.77,0.7,1.022,10,4,210.0,0,0,91.7%,12,11,33.3%,3,1,100.0%,1,1,0.0%,0,0,0.0%,0,0,0,1.8,0.0
1926,Jaden Wilder,6,1,32,32,31,18,11,2,0,0,.935,1.36,0.7,1.142,22,5,192.0,0,0,100.0%,16,16,100.0%,2,2,100.0%,2,2,0.0%,0,0,0.0%,0,0,0,1.2,0.0
4197,Mike Whitt,9,1,60,0,9,5,3,1,0,0,.889,1.14,-0.2,1.022,7,1,63.1,0,0,100.0%,5,5,100.0%,1,1,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,-0.1,0.0
1136,Manny White,12,1,33,33,20,11,8,1,0,0,.950,0.88,0.4,.943,11,4,195.0,0,0,80.0%,10,8,100.0%,2,2,100.0%,2,2,0.0%,0,0,0.0%,0,0,0,-0.5,0.0
1713,Jim Wells,8,1,58,0,7,3,2,2,1,0,.714,0.84,-1.5,.409,1,0,53.2,0,0,50.0%,4,2,50.0%,2,1,0.0%,1,0,0.0%,0,0,0.0%,0,0,0,0.4,0.0
3689,Jerry Weathersby,6,1,32,32,19,8,8,3,2,0,.842,0.84,-0.8,.766,16,4,171.2,0,0,87.5%,8,7,50.0%,2,1,100.0%,2,2,0.0%,0,0,0.0%,0,0,0,0.8,0.0
1045,Chris Weatherholt,7,1,32,32,23,15,7,1,1,0,.957,1.15,1.4,.958,7,4,172.2,0,0,100.0%,14,14,0.0%,0,0,66.7%,3,2,0.0%,0,0,0.0%,0,0,0,0.4,0.0
4445,Ryan Watkins,11,1,67,0,10,6,4,0,1,0,1.000,0.96,1.0,1.022,6,3,94.0,0,0,100.0%,6,6,100.0%,1,1,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,-0.4,0.0
895,Mohamed Washington,6,1,33,33,22,14,8,0,0,0,1.000,1.06,0.5,1.192,9,2,186.2,0,0,100.0%,10,10,0.0%,2,0,80.0%,5,4,0.0%,0,0,0.0%,0,0,0,-0.4,0.0
