ID,Name,EXP,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,BIZ-R%,BIZ-R,BIZ-Rm,BIZ-L%,BIZ-L,BIZ-Lm,BIZ-E%,BIZ-E,BIZ-Em,BIZ-U%,BIZ-U,BIZ-Um,BIZ-Z%,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
296,Dylan Wilkerson,9,3,21,13,110,10,99,1,9,0,.991,7.83,-0.5,.928,0,0,125.1,0,0,95.5%,22,21,50.0%,2,1,100.0%,3,3,0.0%,2,0,0.0%,0,0,1,0.0,0.0
3097,Joe Wheat,6,3,128,128,976,47,924,5,90,0,.995,7.96,-1.7,.977,0,0,1097.2,0,0,97.7%,172,168,72.7%,22,16,50.0%,10,5,12.5%,8,1,0.0%,10,0,0,0.0,0.0
3976,Lung Weng,6,3,49,13,171,11,159,1,18,0,.994,9.20,0.5,1.016,0,0,166.1,0,0,94.1%,34,32,100.0%,5,5,100.0%,1,1,0.0%,1,0,20.0%,5,1,0,0.0,0.0
157,Mitch Welch,5,3,13,13,95,8,86,1,8,0,.989,7.34,-0.6,.963,0,0,115.1,0,0,93.3%,15,14,75.0%,4,3,0.0%,1,0,0.0%,0,0,0.0%,0,0,1,0.0,0.0
2444,Pat Waters,6,3,20,14,131,7,122,2,15,0,.985,8.73,-0.9,.924,0,0,133.0,0,0,90.5%,21,19,75.0%,4,3,100.0%,1,1,0.0%,1,0,0.0%,2,0,0,0.0,0.0
538,James Wasinger,5,3,47,47,381,24,355,2,28,0,.995,9.10,1.4,1.062,0,0,375.0,0,0,95.9%,74,71,100.0%,10,10,50.0%,6,3,25.0%,4,1,0.0%,4,0,0,0.0,0.0
256,Victor Victoriano,11,3,150,150,1304,80,1217,7,116,0,.995,8.73,5.8,1.033,0,0,1337.1,0,0,98.8%,245,242,89.7%,29,26,66.7%,18,12,23.5%,17,4,23.5%,17,4,2,0.0,0.0
1604,Tony Vega,7,3,33,29,272,16,255,1,31,0,.996,10.08,0.2,.993,0,0,242.0,0,0,95.7%,46,44,87.5%,8,7,100.0%,2,2,0.0%,0,0,0.0%,1,0,0,0.0,0.0
298,Oscar Vazquez,11,3,149,149,1244,92,1140,12,124,0,.990,8.50,-5.6,.959,0,0,1304.1,0,0,94.2%,226,213,79.6%,49,39,46.7%,15,7,20.0%,15,3,0.0%,15,0,2,0.0,0.0
355,Ryan Turner,17,3,91,91,820,35,779,6,65,0,.993,9.51,-3.3,.966,0,0,770.0,0,0,94.2%,155,146,64.7%,17,11,71.4%,7,5,14.3%,7,1,0.0%,10,0,1,0.0,0.0
