ID,Name,G,GS,W,L,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,ERA,BABIP,WHIP,K/9,BB/9,HR/9,K/BB,K%-BB%,SH,SF,WP,BK,CI,DP,IR,IRS,PI,GB,FB,SB,CS,ERA+,FIP,FIP-,WAR
994,Hugo Amezcha,66,0,5,8,70.0,299,269,62,48,5,2,7,31,29,22,3,93,6,3.73,.324,1.20,12.0,2.8,0.9,4.2,23.7,1,1,5,0,0,6,10,6,1124,54,57,1,1,114,2.88,67,2.2
477,Frank Antonetti,58,0,4,5,61.2,257,229,50,41,4,1,4,21,19,20,3,56,5,2.77,.267,1.14,8.2,2.9,0.6,2.8,14.0,0,3,2,0,0,5,5,0,996,72,51,3,0,153,3.27,76,1.4
7,John Beachy,59,0,3,4,64.0,269,242,54,40,10,1,3,22,20,21,2,80,1,2.81,.317,1.17,11.2,3.0,0.4,3.8,21.9,3,2,2,0,0,4,2,2,1036,53,54,0,0,151,2.22,52,2.8
97,Jamie Beard,64,0,2,10,76.0,313,284,71,54,9,2,6,28,27,20,5,46,2,3.20,.278,1.20,5.4,2.4,0.7,2.3,8.3,5,2,1,0,0,8,6,1,1059,99,73,1,0,133,3.66,86,1.2
1187,Justin Billington,64,0,7,8,71.0,282,258,46,28,10,1,7,30,25,21,2,81,3,3.17,.229,0.94,10.3,2.7,0.9,3.9,21.3,0,0,3,0,0,5,9,2,1074,72,52,1,2,134,3.10,72,1.9
529,Chris Block,60,0,5,8,60.0,256,232,60,43,10,1,6,25,25,20,5,53,2,3.75,.310,1.33,8.0,3.0,0.9,2.6,12.9,1,1,1,1,0,6,10,3,893,62,56,2,0,113,3.55,83,1.1
1276,Josh Chapman,56,0,6,5,61.2,247,225,48,31,9,3,5,18,18,19,5,73,2,2.63,.291,1.09,10.7,2.8,0.7,3.8,21.9,0,1,0,0,0,8,9,2,927,52,50,1,0,162,2.63,62,2.2
1088,D.J. Christopherson,59,0,3,7,52.0,244,217,67,47,15,1,4,34,34,23,6,55,3,5.88,.399,1.73,9.5,4.0,0.7,2.4,13.1,1,0,4,0,0,4,18,3,909,47,47,5,1,72,3.21,75,1.4
1135,Dave Court,61,0,4,5,65.2,277,254,61,44,7,2,8,18,18,21,2,94,1,2.47,.349,1.25,12.9,2.9,1.1,4.5,26.4,1,0,2,0,0,2,7,1,1087,53,46,2,1,172,2.80,66,2.2
853,Justin Gill,60,0,2,7,58.2,248,222,49,27,14,2,6,20,19,23,4,61,2,2.91,.276,1.23,9.4,3.5,0.9,2.7,15.3,0,1,2,1,0,4,15,3,906,60,50,1,0,146,3.49,82,1.2
947,Edgar Guzman,62,0,3,8,62.2,263,238,58,40,9,0,9,26,24,20,4,77,2,3.45,.320,1.24,11.1,2.9,1.3,3.9,21.7,2,1,3,1,0,5,11,3,1008,60,44,1,2,123,3.44,81,1.2
1041,Dan Hicken,72,0,3,3,91.0,357,336,74,54,11,1,8,23,21,19,1,104,0,2.08,.293,1.02,10.3,1.9,0.8,5.5,23.8,1,1,1,0,0,10,15,1,1371,75,81,0,0,204,2.62,61,2.9
1464,Kyle Howlett,69,0,4,11,68.0,303,271,77,52,13,1,11,38,37,25,2,79,5,4.90,.365,1.50,10.5,3.3,1.5,3.2,17.8,2,0,4,0,0,11,12,2,1131,64,51,2,0,87,4.18,98,0.5
1234,Danny Ledesma,61,0,5,6,63.0,255,234,54,35,9,1,9,21,19,18,2,68,1,2.71,.287,1.14,9.7,2.6,1.3,3.8,19.6,2,0,3,0,0,6,3,3,956,59,53,0,2,156,3.68,86,1.0
764,Dustin Love,59,0,6,4,65.2,257,228,37,30,1,0,6,16,15,24,1,68,3,2.06,.201,0.93,9.3,3.3,0.8,2.8,17.1,2,0,2,0,0,5,3,0,981,70,52,0,0,207,3.47,81,1.2
1417,Jeff Manor,55,0,3,4,53.0,229,203,50,36,7,0,7,27,22,19,1,65,3,3.74,.326,1.30,11.0,3.2,1.2,3.4,20.1,2,1,1,0,1,5,11,0,879,41,47,0,0,114,3.62,85,0.9
