ID,Name,EXP,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,BIZ-R%,BIZ-R,BIZ-Rm,BIZ-L%,BIZ-L,BIZ-Lm,BIZ-E%,BIZ-E,BIZ-Em,BIZ-U%,BIZ-U,BIZ-Um,BIZ-Z%,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
3976,Lung Weng,6,4,2,0,3,2,1,0,2,0,1.000,6.75,0.0,.964,0,0,4.0,0,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0.0
393,Andy Watts,10,4,18,18,78,44,31,3,12,0,.962,4.07,-2.9,.879,0,0,165.2,0,0,88.1%,42,37,50.0%,14,7,16.7%,6,1,26.7%,15,4,14.3%,14,2,4,0.0,0.0
538,James Wasinger,5,4,100,82,417,231,183,3,52,0,.993,4.85,2.5,1.001,0,0,769.0,0,0,95.2%,208,198,60.0%,45,27,64.9%,37,24,27.8%,36,10,12.9%,62,8,20,0.0,0.0
1242,Luke Washington,10,4,58,55,252,147,102,3,44,0,.988,4.55,-8.4,.887,0,0,492.0,0,0,91.0%,134,122,46.4%,28,13,21.1%,19,4,7.7%,26,2,14.7%,34,5,11,0.0,0.0
2392,Ray Ward,6,4,50,40,215,125,88,2,37,0,.991,4.92,-2.7,.956,0,0,389.1,0,0,90.7%,107,97,61.1%,18,11,38.9%,18,7,21.1%,19,4,12.5%,16,2,8,0.0,0.0
1756,Andy Vizcarra,10,4,139,139,624,361,250,13,96,0,.979,4.34,-4.3,.970,0,0,1267.2,0,0,92.5%,308,285,64.2%,67,43,42.6%,68,29,18.8%,64,12,17.8%,73,13,27,0.0,0.0
1806,Antonio Vallejo,8,4,134,134,621,364,242,15,115,0,.976,4.56,-0.9,1.004,0,0,1197.1,0,0,93.6%,312,292,69.8%,53,37,33.9%,59,20,23.6%,72,17,12.9%,101,13,24,0.0,0.0
1582,Frank Valenzuela,9,4,7,7,20,13,7,0,2,0,1.000,2.90,-2.1,.844,0,0,62.0,0,0,86.7%,15,13,16.7%,6,1,0.0%,1,0,0.0%,3,0,0.0%,4,0,2,0.0,0.0
1784,Jared Tyler,7,4,26,23,100,65,35,0,18,0,1.000,4.29,2.6,1.076,0,0,210.0,0,0,98.0%,51,50,100.0%,4,4,60.0%,5,3,44.4%,9,4,10.0%,20,2,4,0.0,0.0
2365,Matt Troutman,7,4,141,141,682,387,282,13,114,0,.981,4.77,11.0,1.063,0,0,1262.0,0,0,94.2%,328,309,75.4%,57,43,64.2%,67,43,30.8%,65,20,9.6%,94,9,26,0.0,0.0
