ID,Name,EXP,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,BIZ-R%,BIZ-R,BIZ-Rm,BIZ-L%,BIZ-L,BIZ-Lm,BIZ-E%,BIZ-E,BIZ-Em,BIZ-U%,BIZ-U,BIZ-Um,BIZ-Z%,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
6859,Jason Acevedo,14,1,76,0,3,2,1,0,0,0,1.000,0.37,-0.6,1.023,8,1,73.1,0,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,1.2,0.0
7093,Jaime Aguilera,9,1,50,0,4,1,3,0,2,0,1.000,0.69,-0.6,1.023,5,0,52.1,0,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,-0.1,0.0
6472,David Alcon,13,1,68,0,8,3,2,3,0,0,.625,0.56,-0.7,.512,3,1,80.2,0,0,50.0%,4,2,0.0%,0,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,0,-0.1,0.0
6648,Jeff Alderman,9,1,55,0,10,5,4,1,0,0,.900,1.24,-0.6,1.023,6,0,65.1,0,0,100.0%,3,3,100.0%,1,1,100.0%,1,1,0.0%,0,0,0.0%,0,0,0,0.4,0.0
7113,Aaron Anderson,13,1,33,33,28,9,19,0,2,0,1.000,1.55,0.4,1.137,11,3,162.2,0,0,100.0%,10,10,0.0%,1,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,-0.3,0.0
6731,Branden Anderson,8,1,33,33,12,10,2,0,1,0,1.000,0.57,1.4,1.170,9,4,188.0,0,0,100.0%,7,7,100.0%,1,1,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.1,0.0
6833,Dusty Anderson,15,1,32,32,14,10,2,2,2,0,.857,0.79,-1.4,.837,23,5,136.2,0,0,80.0%,10,8,0.0%,0,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,0,0.1,0.0
6915,Josh Andre,15,1,55,0,3,3,0,0,0,0,1.000,0.57,-0.3,1.023,3,0,47.0,0,0,100.0%,1,1,100.0%,1,1,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,-0.0,0.0
6826,Jody Anglin,8,1,32,32,18,7,9,2,4,0,.889,0.89,-2.0,.877,30,6,161.1,0,0,75.0%,8,6,0.0%,0,0,0.0%,1,0,0.0%,0,0,0.0%,0,0,0,1.6,0.0
6856,Carlos Anzo,11,1,51,0,9,4,4,1,0,0,.889,1.08,0.3,1.023,8,3,66.2,0,0,66.7%,3,2,100.0%,2,2,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,-1.1,0.0
