ID,Name,EXP,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,BIZ-R%,BIZ-R,BIZ-Rm,BIZ-L%,BIZ-L,BIZ-Lm,BIZ-E%,BIZ-E,BIZ-Em,BIZ-U%,BIZ-U,BIZ-Um,BIZ-Z%,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
6588,Bryant Anderson,14,5,35,29,75,48,24,3,8,0,.960,2.43,1.1,1.051,0,0,266.1,0,0,95.6%,45,43,85.7%,14,12,88.9%,9,8,66.7%,3,2,0.0%,4,0,0,0.0,-0.0
6556,Lee Baker,11,5,27,27,70,51,16,3,5,0,.957,2.53,-0.9,.999,0,0,238.0,0,0,94.3%,53,50,78.6%,14,11,66.7%,3,2,66.7%,3,2,0.0%,8,0,0,0.0,0.0
6609,Mike Baker,12,5,22,22,53,35,13,5,4,0,.906,2.25,-2.2,.934,0,0,192.1,0,0,80.0%,35,28,92.3%,13,12,50.0%,8,4,100.0%,3,3,25.0%,4,1,0,0.0,0.0
6526,Mike Barnhart,21,5,6,6,14,12,1,1,1,0,.929,2.14,0.1,.970,0,0,54.2,0,0,87.5%,8,7,100.0%,3,3,100.0%,2,2,0.0%,0,0,50.0%,2,1,0,0.0,0.0
6980,Jason Barrett,21,5,36,36,104,73,21,10,4,0,.904,2.62,-6.4,.898,0,0,323.0,0,0,84.7%,72,61,87.1%,31,27,28.6%,7,2,33.3%,3,1,0.0%,7,0,1,0.0,0.0
7024,Tim Beideman,8,5,80,80,194,159,32,3,21,0,.985,2.44,1.2,1.015,0,0,704.0,0,0,96.7%,123,119,88.1%,42,37,68.2%,22,15,46.7%,15,7,30.0%,20,6,1,0.0,0.0
7103,Haykuni Beyburtian,7,5,6,6,23,16,6,1,1,0,.957,3.81,-0.6,.993,0,0,52.0,0,0,88.2%,17,15,100.0%,4,4,50.0%,4,2,0.0%,0,0,0.0%,2,0,0,0.0,0.0
6947,Gustavo Briones,16,5,102,102,276,213,53,10,23,0,.964,2.69,6.7,1.038,0,0,890.0,0,0,97.7%,171,167,88.9%,54,48,87.1%,31,27,55.0%,20,11,47.1%,17,8,4,0.0,0.0
6686,Roy Cabrera,9,5,145,145,306,228,69,9,21,0,.971,2.36,0.9,.995,0,0,1135.0,0,0,94.5%,199,188,92.9%,56,52,76.9%,39,30,45.5%,22,10,35.0%,20,7,7,0.0,0.0
6743,Jason Campbell,9,5,142,142,359,270,69,20,29,0,.944,2.44,0.4,1.003,0,0,1249.1,0,0,93.1%,246,229,88.9%,63,56,84.8%,33,28,52.0%,25,13,21.7%,23,5,4,0.0,0.0
6687,Jose Campos,12,5,17,17,34,26,7,1,2,0,.971,2.18,0.3,.981,0,0,136.0,0,0,96.0%,25,24,100.0%,7,7,100.0%,1,1,50.0%,2,1,0.0%,0,0,0,0.0,0.0
6772,Bryan Cannon,18,5,135,135,318,233,69,16,23,0,.950,2.29,-5.3,.962,0,0,1186.1,0,0,92.5%,227,210,93.3%,60,56,55.2%,29,16,41.7%,24,10,30.0%,20,6,4,0.0,0.0
6894,Phil Chambers,13,5,52,27,100,73,24,3,3,0,.970,3.14,2.7,1.025,0,0,278.0,0,0,95.6%,68,65,94.1%,17,16,100.0%,5,5,100.0%,5,5,44.4%,9,4,0,0.0,0.0
6583,Justin Chesley,6,5,127,126,277,199,68,10,25,0,.964,2.15,4.5,1.056,0,0,1115.2,0,0,94.6%,186,176,87.5%,48,42,76.5%,34,26,62.5%,16,10,29.4%,17,5,1,0.0,0.0
6453,Dan Clay,10,5,22,22,47,36,8,3,3,0,.936,2.00,0.8,1.025,0,0,198.1,0,0,84.4%,32,27,85.7%,7,6,100.0%,4,4,100.0%,1,1,83.3%,6,5,0,0.0,0.0
6738,Mark Clements,17,5,22,20,47,37,7,3,4,0,.936,2.08,-0.4,.956,0,0,190.0,0,0,96.9%,32,31,88.9%,9,8,66.7%,6,4,0.0%,0,0,25.0%,4,1,1,0.0,0.0
7136,Brian Collins,19,5,139,139,313,238,59,16,29,0,.949,2.28,-6.5,.949,0,0,1172.1,0,0,92.5%,228,211,92.2%,51,47,73.3%,30,22,21.1%,19,4,25.0%,24,6,4,0.0,0.0
6530,Kevin Conner,13,5,143,143,348,258,79,11,22,0,.968,2.38,5.0,1.029,0,0,1275.0,0,0,95.8%,214,205,90.1%,81,73,67.6%,34,23,66.7%,18,12,37.9%,29,11,3,0.0,0.0
6452,Brett Cox,15,5,140,140,323,221,85,17,23,0,.947,2.20,-9.7,.940,0,0,1250.2,0,0,91.5%,246,225,77.4%,62,48,69.6%,23,16,38.5%,13,5,17.4%,23,4,1,0.0,0.0
6798,Jeramy Downing,4,5,141,141,326,239,72,15,22,0,.954,2.28,4.3,1.051,0,0,1226.0,0,0,95.2%,228,217,86.9%,61,53,70.8%,24,17,56.5%,23,13,25.0%,36,9,3,0.0,0.0
6561,Bobby Fields,16,5,136,136,341,262,68,11,21,0,.968,2.42,4.1,1.040,0,0,1226.2,0,0,94.8%,233,221,82.9%,70,58,76.5%,34,26,66.7%,18,12,31.0%,29,9,4,0.0,0.0
