ID,Name,EXP,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,BIZ-R%,BIZ-R,BIZ-Rm,BIZ-L%,BIZ-L,BIZ-Lm,BIZ-E%,BIZ-E,BIZ-Em,BIZ-U%,BIZ-U,BIZ-Um,BIZ-Z%,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
7072,Oscar Aguilar,18,2,114,114,1091,66,1023,2,5,0,.998,9.58,0.9,1.025,66,21,1022.2,7,405,96.7%,30,29,100.0%,6,6,72.7%,11,8,0.0%,0,0,0.0%,0,0,0,-0.3,0.0
7006,Juan Alvarado,10,2,34,27,301,18,283,0,0,0,1.000,10.75,0.4,1.281,16,5,252.0,3,137,100.0%,5,5,100.0%,2,2,100.0%,3,3,0.0%,0,0,0.0%,0,0,0,-3.4,0.0
7099,Jesus Azcue,7,2,117,117,1096,52,1038,6,4,0,.995,9.41,0.6,.957,75,19,1042.1,3,523,96.3%,27,26,100.0%,13,13,77.8%,9,7,0.0%,0,0,0.0%,0,0,0,0.1,0.0
7046,Ben Bagwell,16,2,115,115,1051,52,995,4,5,0,.996,9.25,-0.4,.888,71,21,1018.1,10,529,95.7%,23,22,88.9%,9,8,100.0%,9,9,0.0%,0,0,0.0%,0,0,0,2.4,0.0
6526,Mike Barnhart,21,2,107,107,953,50,901,2,7,0,.998,9.08,0.7,1.217,70,17,943.0,8,380,100.0%,25,25,100.0%,9,9,100.0%,8,8,0.0%,0,0,0.0%,0,0,0,2.0,0.0
6682,Justin Bishop,15,2,43,43,396,28,367,1,2,0,.997,9.27,-0.4,.820,28,9,383.2,4,140,100.0%,6,6,0.0%,0,0,83.3%,6,5,0.0%,0,0,0.0%,0,0,0,-0.9,0.0
7125,Hugh Cannon,12,2,118,118,1032,61,966,5,5,0,.995,8.97,0.9,1.089,81,23,1031.0,6,632,96.6%,29,28,88.9%,9,8,100.0%,5,5,0.0%,0,0,0.0%,0,0,0,-5.0,0.0
7021,Josh Claxton,12,2,117,117,914,55,856,3,3,0,.997,7.77,-0.0,1.183,84,24,1055.1,11,519,92.6%,27,25,100.0%,12,12,100.0%,5,5,0.0%,0,0,0.0%,0,0,0,8.0,0.0
6864,Bill Cobb,6,2,119,119,1122,55,1063,4,1,0,.996,9.60,-0.9,.888,87,23,1048.2,9,520,100.0%,22,22,83.3%,6,5,100.0%,3,3,0.0%,0,0,0.0%,0,0,0,4.5,0.0
7176,Nick Cooper,17,2,116,116,882,60,820,2,4,0,.998,7.69,0.4,.867,96,29,1030.0,7,580,100.0%,23,23,100.0%,11,11,75.0%,4,3,0.0%,0,0,0.0%,1,0,0,1.5,0.0
6838,Jonathan Dalo,12,2,118,118,988,61,924,3,2,0,.997,8.41,-0.7,1.123,92,21,1053.2,10,425,100.0%,23,23,88.9%,9,8,100.0%,10,10,0.0%,0,0,0.0%,0,0,0,5.1,0.0
7098,Brandon Davis,7,2,45,45,413,24,388,1,2,0,.998,9.04,0.4,1.230,31,9,410.0,3,241,100.0%,11,11,75.0%,4,3,100.0%,2,2,0.0%,0,0,0.0%,0,0,0,-0.3,0.0
6512,Jaret Decker,5,2,43,43,421,30,391,0,4,0,1.000,9.55,0.7,1.025,33,12,396.2,4,160,100.0%,6,6,100.0%,2,2,100.0%,3,3,0.0%,0,0,0.0%,0,0,0,-1.8,0.0
6578,Chris DiTomaso,7,2,45,45,459,19,438,2,1,0,.996,10.15,0.2,1.025,30,9,405.1,4,184,100.0%,6,6,100.0%,6,6,100.0%,2,2,0.0%,0,0,0.0%,0,0,0,1.1,0.0
